Boba,Car Stuff,Cats,Climbing,Eating Out,Electric,Groceries,Insurance,Keyboard,KPop,Misc,Rent+Utilties,Rocks,Subscriptions,Video Games + Media
SQ *GIGI TEA TIME Richmond VA,WAWA 8615 00086157 RICHMOND VA,CHEWY.COM,PEAK EXPERIENCES MIDLOTHIAN VA,GELATI CELESTI HENRICO VA,Electric,COSTCO WHSE #0205 GLEN ALLEN VA,STATE FARM INSURANCE 800-956-6310 IL,Osume Keyboard,Kpop I am Dahyun,KS BARBER SHOP LLC GLEN ALLEN VA,BHMANAGEMENT-139 SIGONFILE,THE ROCK SHED INC. 605-666-4813 SD,PatreonX,PAYPAL *EBAY US 402-935-7733 CA
SQ *BRECOTEA Richmond VA,COSTCO GAS #0205 GLEN ALLEN VA,SQ *PAWPRINTS BOUTIQUE CharlottesvilVA,REI #127 RICHMOND GLEN ALLEN VA,TOKYO MARKET RICHMOND VA,DOMINION ENERGY,TRADER JOE'S #659 QPS GLEN ALLEN VA,,EB EAST COAST KEYBOAR 801-413-7200 CA,,MACYS SHORT PUMP RICHMOND VA,BHMANAGEMENT-139 WEB PMTS,,PAYPAL *DISNEY PLUS 402-935-7733 CA,BARNES & NOBLE 2309 HAMPTON VA
MOGE TEE CHARLOTTESVILVA,WP FIRST AND MARKET PARKICHARLOTTESVLEVA,CHEWY.COM,PEAK EXPERIENCES INC 804-8976800 VA,SD RESTURANT GROUP VA RICHMOND VA,Dominion,LIDL #1003 NEWPORT NEWS VA,,Microcenter,,MARRIOTT WESTFIELDS WA CHANTILLY VA PHONE NUMBER: FOLIO NUMBER: ARRIVE: DEPART:,Rent,,AMZN Prime,Nintendo
,COSTCO GAS #0247 NEWPORT NEWS VA,WEBER'S PET SUPERMARKET- HERNDON VA,PEAK EXPERIENCES INC RICHMOND VA,TST* CHUM CHUM ONIRIGI RICHMOND VA,,COSTCO GAS #0205 GLEN ALLEN VA,,,,MEJURI,,,CRUNCHYROLL,Venmo
,COSTCO GAS #1184 CHARLOTTESVILVA,CVILLE ALB SPCA WWW.GOGOPHOTOVA,,COSTCO WHSE #0205 GLEN ALLEN VA,,NEW GRAND MART RICHMOND VA,,,,AMZN MKTP US*DQ9D41AZ3 AMAMZN.COM/BILLWA,,,SPOTIFY 877-778-1161 NY,TARGET 00010496 GLEN ALLEN VA
,CITYPARKING INC RICHMOND VA,,,COSTCO WHSE #0247 NEWPORT NEWS VA,,COSTCO WHSE #1184 CHARLOTTESVILVA,,,,FRAUD DISPUTE,,,PatreoO,ANIMESTUFFS
,PARKING CITY OF RICHMOND RICHMOND VA,,,Noodles and Friends,,99 RANCH MARKET #16 FAIRFAX VA,,,,Jane Long,,,Amazon Prime,MERCAR
,UBER *TRIP HELP.UBER.COM 800-5928996 CA,,,Hardywood,,TRADER JOE'S #661 QPS CHARLOTTESVILVA,,,,IRS DES,,,CRUNCHYROLL *MEMBERSHI 415-503-9235 CA,LH TRADING
,KROGER FUEL #3500 RICHMOND VA,,,,,WAL-MART #1523 GLEN ALLEN VA,,,,VA DEPT TAXATION,,,PatreoT,COSTCO WHSE #0247 NEWPORT NEWS VA
